sb3_file_name,used_config,iteration,last_duration,duration_of_first_repair,file_folders
8-Schatzinsel-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,508,38498599,0,99-minimize-false
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,514,38471298,0,247-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,184,38450929,0,51-manual
3-HappyNewYear-mio-no-test.json-repetition-4-repaired.sb3,no-test,520,38410281,0,243-no-test
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,578,38445662,0,240-minimize-false
boat-race-buggy-19-repaired.sb3,minimize-true-2er,545,38443592,0,235-mio.json
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,581,38473041,0,232-no-test
7-Raumschiff-mio-no-test.json-repetition-1-repaired.sb3,no-test,525,38477959,0,229-no-test
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,516,38427297,0,228-minimize-false
2-Geisterwald-mio.json-repetition-5-repaired.sb3,minimize-true,510,38402475,0,52-mio.json
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,427,38573878,0,53-no-assertion
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,455,38424345,0,224-no-assertion
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,499,38460051,0,338-no-assertion
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,667,38416914,0,220-no-test
7-Raumschiff-mio-no-test.json-repetition-1-repaired.sb3,no-test,668,38443518,0,58-no-test
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,591,38476828,0,59-minimize-false
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,544,38421643,0,212-mio.json
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,590,38402511,0,206-minimize-false
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,466,38459005,0,204-no-assertion
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,595,38430283,0,61-no-test
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,543,38423747,0,2.json-no-test
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,586,38463801,0,2-minimize-false
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,597,38429385,0,62-no-test
boat-race-buggy-1-repaired.sb3,minimize-true-2er,588,38463204,0,195-mio.json
boat-race-buggy-1-repaired.sb3,minimize-true-2er,576,38402403,0,252-mio.json
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,489,38483616,0,261-no-assertion
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,576,38411016,0,263-minimize-false
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,541,38452453,0,98-mio.json
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,572,38447418,0,342-minimize-false
raumschiff-buggy-9-repaired.sb3,manual-written,180,38444281,0,336-manual
4-Fangen-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,600,38463011,0,35-minimize-false
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,499,38456721,0,334-no-test
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,600,38417638,0,4-no-test
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,527,38450981,0,41-mio.json
buggy-K7-12-repaired.sb3,minimize-true-2er,417,38409400,0,314-mio.json
8-Schatzinsel-repaired.sb3,manual-written,251,38468526,0,45-manual
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,625,38412066,0,310-minimize-false
boat-race-buggy-1-repaired.sb3,minimize-true-2er,611,38578132,0,309-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,542,38446170,0,304-no-assertion
3-HappyNewYear-mio-no-assertion.json-repetition-4-repaired.sb3,no-assertion,468,38498680,0,191-no-assertion
buggy-K6-15-repaired.sb3,minimize-true-2er,381,38448035,0,302-mio.json
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,580,38520538,0,297-minimize-false
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,595,38435009,0,296-minimize-false
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,545,38419039,0,295-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,444,38500477,0,290-no-test
buggy-K7-12-repaired.sb3,minimize-true-2er,385,38424002,0,29-mio.json
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,722,38400695,0,285-minimize-false
raumschiff-buggy-9-repaired.sb3,manual-written,196,38427410,0,279-manual
8-Schatzinsel-repaired.sb3,manual-written,298,38414115,0,273-manual
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,472,38483660,0,49-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,462,38415769,0,5-no-test
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,526,38455295,0,269-mio.json
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,473,38435855,0,298-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,523,38420488,0,190-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,201,38507179,0,222-manual
boat-race-buggy-19-repaired.sb3,minimize-true-2er,533,38413333,0,64-mio.json
5-Labyrinth-mio-no-test.json-repetition-3-repaired.sb3,no-test,458,38456239,0,163-no-test
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,505,38474238,0,8.json-mio.json
8-Schatzinsel-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,481,38413645,0,90-no-assertion
3-HappyNewYear-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,915,38400919,0,116-minimize-false
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,607,38452633,0,82-minimize-false
4-Fangen-mio-no-test.json-repetition-3-repaired.sb3,no-test,584,38423767,0,118-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,408,38438715,0,119-no-test
buggy-K7-12-repaired.sb3,minimize-true-2er,377,38499195,0,143-mio.json
boat-race-buggy-19-repaired.sb3,minimize-true-2er,570,38446509,0,121-mio.json
raumschiff-buggy9-repaired.sb3,minimize-true-2er,512,38466499,0,122-mio.json
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,770,38430690,0,124-no-test
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,583,38437721,0,125-minimize-false
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,556,38445158,0,126-minimize-false
2-Geisterwald-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,592,38472749,0,139-minimize-false
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,354,38549053,0,127-mio.json
3-HappyNewYear-mio.json-repetition-5-repaired.sb3,minimize-true,441,38425577,0,135-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,527,38402720,0,133-no-assertion
3-HappyNewYear-mio-no-assertion.json-repetition-4-repaired.sb3,no-assertion,473,38499204,0,77-no-assertion
raumschiff-buggy-9-repaired.sb3,manual-written,177,38505639,0,165-manual
2-Geisterwald-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,442,38429567,0,110-no-assertion
7-Raumschiff-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,551,38436031,0,171-minimize-false
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,585,38450266,0,95-no-test
8-Schatzinsel-mio-no-test.json-repetition-2-repaired.sb3,no-test,441,38408260,0,176-no-test
7-Raumschiff-mio-no-test.json-repetition-1-repaired.sb3,no-test,527,38480551,0,172-no-test
7-Raumschiff-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,532,38484493,0,91-no-assertion
raumschiff-buggy9-repaired.sb3,minimize-true-2er,523,38457378,0,65-mio.json
2-Geisterwald-mio-no-test.json-repetition-2-repaired.sb3,no-test,556,38437710,0,67-no-test
9-Sternenjagd-mio-minimizie-false.json-repetition-5-repaired.sb3,minimize-false,561,38437092,0,183-minimize-false
7-Raumschiff-mio.json-repetition-2-repaired.sb3,minimize-true,412,38487708,0,93-mio.json
4-Fangen-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,499,38469453,0,76-no-assertion
2-Geisterwald-mio.json-repetition-5-repaired.sb3,minimize-true,749,38422716,0,166-mio.json
3-HappyNewYear-mio-no-test.json-repetition-4-repaired.sb3,no-test,550,38458694,0,72-no-test
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,0,33539,33539,239-minimize-false
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,0,36244,36244,11-minimize-false
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,0,37366,37366,96-mio.json
2-Geisterwald-repaired.sb3,manual-written,0,38370,38370,6-manual
3-HappyNewYear-repaired.sb3,manual-written,0,40002,40002,201-manual
2-Geisterwald-repaired.sb3,manual-written,0,40028,40028,177-manual
3-HappyNewYear-repaired.sb3,manual-written,0,40546,40546,30-manual
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,0,40934,40934,39-mio.json
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,0,41055,41055,282-no-assertion
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,0,44313,44313,27-no-test
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,0,44836,44836,38-no-test
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,23,1055477,45237,255-no-test
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,0,45743,45743,23-mio.json
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,0,46186,46186,267-mio.json
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,0,47602,47602,278-no-assertion
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,0,47850,47850,54-no-assertion
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,0,48099,48099,251-mio.json
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,0,48426,48426,266-no-test
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,49995,49995,79-minimize-false
5-Labyrinth-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,497,38438397,50209,9-minimize-false
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,51665,51665,22-minimize-false
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,0,51976,51976,50-no-assertion
6-Papagei-repaired.sb3,manual-written,0,52183,52183,32-manual
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,53082,53082,193-minimize-false
6-Papagei-repaired.sb3,manual-written,0,55499,55499,260-manual
4-Fangen-repaired.sb3,manual-written,3,282949,55887,333-manual
5-Labyrinth-mio.json-repetition-2-repaired.sb3,minimize-true,26,1863963,57033,85-mio.json
5-Labyrinth-mio.json-repetition-2-repaired.sb3,minimize-true,437,38431980,57153,256-mio.json
5-Labyrinth-mio.json-repetition-2-repaired.sb3,minimize-true,49,3330108,57219,28-mio.json
5-Labyrinth-mio.json-repetition-2-repaired.sb3,minimize-true,17,1335005,57273,142-mio.json
6-Papagei-repaired.sb3,manual-written,0,57808,57808,89-manual
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,60026,60026,307-minimize-false
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,1,157753,62453,137-mio.json
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,62772,62772,250-minimize-false
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,0,79925,79925,209-no-test
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,0,92739,92739,152-no-test
7-Raumschiff-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,2,218582,94490,319-no-assertion
3-HappyNewYear-repaired.sb3,manual-written,0,95377,95377,258-manual
2-Geisterwald-repaired.sb3,manual-written,0,95419,95419,291-manual
13-Winter-mio-minimizie-false.json-repetition-1-repaired.sb3,minimize-false,0,98584,98584,136-minimize-false
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,461,38471535,120205,254-no-assertion
2-Geisterwald-repaired.sb3,manual-written,1,124996,124996,234-manual
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,1,130925,130925,312-no-test
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,4,286082,137250,194-mio.json
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,1,139440,139440,56-no-test
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,1,140323,140323,80-mio.json
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,1,149054,149054,153-mio.json
6-Papagei-repaired.sb3,manual-written,1,152086,152086,203-manual
13-Winter-mio.json-repetition-3-repaired.sb3,minimize-true,3,257158,153989,308-mio.json
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,2,156121,156121,339-no-assertion
4-Fangen-repaired.sb3,manual-written,83,4294325,165932,162-manual
buggy-K6-15-repaired.sb3,minimize-true-2er,379,38492919,171342,131-mio.json
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,3,174420,174420,182-minimize-false
13-Winter-repaired.sb3,manual-written,0,177513,177513,47-manual
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,1,179619,179619,329-mio.json
13-Winter-repaired.sb3,manual-written,0,182743,182743,275-manual
13-Winter-repaired.sb3,manual-written,0,186134,186134,332-manual
5-Labyrinth-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,467,38492828,204147,294-minimize-false
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,190,38484941,209198,301-manual
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,58,3197677,217423,221-no-assertion
13-Winter-mio-no-test.json-repetition-2-repaired.sb3,no-test,3,222099,222099,323-no-test
3-HappyNewYear-repaired.sb3,manual-written,2,231702,231702,315-manual
3-HappyNewYear-repaired.sb3,manual-written,3,232422,232422,87-manual
6-Papagei-repaired.sb3,manual-written,2,232452,232452,146-manual
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,479,38496202,233193,197-no-assertion
9-Sternenjagd-repaired.sb3,manual-written,3,238783,238783,246-manual
4-Fangen-repaired.sb3,manual-written,523,38478941,255616,48-manual
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,469,38497652,260202,26-no-assertion
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,5,261331,261331,111-no-assertion
9-Sternenjagd-repaired.sb3,manual-written,4,274357,274357,189-manual
2-Geisterwald-repaired.sb3,manual-written,4,294108,294108,120-manual
7-Raumschiff-mio.json-repetition-2-repaired.sb3,minimize-true,407,38486468,333733,264-mio.json
7-Raumschiff-mio.json-repetition-2-repaired.sb3,minimize-true,67,5758930,345101,150-mio.json
buggy-K6-15-repaired.sb3,minimize-true-2er,393,38459223,356090,17-mio.json
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,194,10924132,365111,335-no-assertion
13-Winter-repaired.sb3,manual-written,1,543479,367474,161-manual
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,491,38470157,405184,140-no-assertion
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,488,38414723,429042,311-no-assertion
raumschiff-buggy-2-repaired.sb3,minimize-true-2er,176,38400736,453891,244-manual
4-Fangen-repaired.sb3,manual-written,141,7638216,454899,105-manual
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,5,465235,465235,158-mio.json
13-Winter-repaired.sb3,manual-written,1,470598,470598,104-manual
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,8,484390,484390,341-no-test
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,10,491515,491515,84-no-test
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,7,493558,493558,164-no-assertion
6-Papagei-repaired.sb3,manual-written,7,516504,516504,317-manual
9-Sternenjagd-repaired.sb3,manual-written,7,543841,543841,18-manual
2-Geisterwald-repaired.sb3,manual-written,9,558992,558992,63-manual
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,15,657820,657820,225-no-assertion
3-HappyNewYear-repaired.sb3,manual-written,13,669095,669095,144-manual
13-Winter-repaired.sb3,manual-written,2,692618,692618,218-manual
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,12,697609,697609,284-no-test
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,12,861387,861387,215-mio.json
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,17,893453,893453,170-no-test
9-Sternenjagd-repaired.sb3,manual-written,11,916404,916404,303-manual
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,92,5606486,927036,101-mio.json
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,380,38408944,1308288,70-mio.json
5-Labyrinth-repaired.sb3,manual-written,106,38737569,1444279,202-manual
7-Raumschiff-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,542,38425614,1524877,148-no-assertion
4-Fangen-mio.json-repetition-4-repaired.sb3,minimize-true,389,38413774,1540710,184-mio.json
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,23,1571461,1571461,44-mio.json
9-Sternenjagd-mio.json-repetition-1-repaired.sb3,minimize-true,25,1641816,1641816,272-mio.json
7-Raumschiff-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,492,38436860,1854746,34-no-assertion
5-Labyrinth-mio-no-assertion.json-repetition-3-repaired.sb3,no-assertion,448,38486981,1856839,83-no-assertion
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,57,3036232,3036232,210-mio.json
6-Papagei-mio-no-assertion.json-repetition-2-repaired.sb3,no-assertion,79,3202257,3202257,168-no-assertion
6-Papagei-mio-minimizie-false.json-repetition-2-repaired.sb3,minimize-false,90,3690356,3690356,68-minimize-false
13-Winter-mio-no-assertion.json-repetition-5-repaired.sb3,no-assertion,100,5520353,4459767,107-no-assertion
9-Sternenjagd-repaired.sb3,manual-written,64,4811196,4811196,132-manual
2-Geisterwald-mio.json-repetition-5-repaired.sb3,minimize-true,269,15276363,4836246,337-mio.json
buggy-K6-15-repaired.sb3,minimize-true-2er,373,38410861,5884518,74-mio.json
buggy-K7-12-repaired.sb3,minimize-true-2er,377,38454619,6044566,86-mio.json
5-Labyrinth-mio-minimizie-false.json-repetition-3-repaired.sb3,minimize-false,501,38469738,7404085,66-minimize-false
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,144,7972044,7972044,227-no-test
buggy-K7-12-repaired.sb3,minimize-true-2er,327,38494482,9108047,257-mio.json
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,158,10670249,10670249,328-mio.json
9-Sternenjagd-mio-no-test.json-repetition-1-repaired.sb3,no-test,205,11550438,11550438,113-no-test
8-Schatzinsel-repaired.sb3,manual-written,97,12775608,12775608,330-manual
9-Sternenjagd-repaired.sb3,manual-written,238,16775578,16775578,75-manual
6-Papagei-mio.json-repetition-2-repaired.sb3,minimize-true,307,19275992,19275992,324-mio.json
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,380,19692394,19692394,141-no-test
6-Papagei-mio-no-test.json-repetition-2-repaired.sb3,no-test,360,20969891,20969891,198-no-test
8-Schatzinsel-repaired.sb3,manual-written,181,23335526,21780449,216-manual
8-Schatzinsel-repaired.sb3,manual-written,186,23442953,22873660,102-manual
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,341,27316423,27316423,271-mio.json
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,443,34944821,34944821,214-mio.json
8-Schatzinsel-mio.json-repetition-2-repaired.sb3,minimize-true,408,36321932,36321932,43-mio.json
